"datetime","Q_m3.s","No3_mg.l","hour","TP","T2M","RO","ROSS","ROS","VSWL1","VSWL2","VSWL3","VSWL4","SNSR","CP","LSP"
2013-11-12 11:45:00,24.4,0.947735,12,0.0282934183741183,4.21295606197452,0.0291240255741773,0.0286777901719501,0.000415519202775854,0.394034787694394,0.402396143278602,0.418346294189561,0.37924955972116,114748.873285215,0,0.0280551275280263
2013-11-12 12:45:00,24.025,0.9371225,13,0.019358654677028,4.51690449760287,0.0294852746374049,0.028744087880569,0,0.393679221644569,0.40199826665162,0.418233331533724,0.379328615635458,112418.739413731,0,0.0193166451832312
2013-11-12 13:45:00,23.8,0.939245,14,0.0626426210318196,4.76221986471751,0.0301311441746907,0.0288877329159099,0.00110440630211476,0.393573868740917,0.401613801596335,0.41810478782191,0.379417051065011,97211.5499366734,0,0.0626411208084782
2013-11-12 14:45:00,23.575,0.9583475,15,0.0261093650259408,4.74334945186257,0.0292553888698965,0.0289540306245288,0.000415519202775854,0.393635324601381,0.40126063020834,0.417976244110096,0.37950012677156,41083.939313018,0,0.0261234630097029
2013-11-12 15:45:00,23.8,0.947735,16,0.0520201797475014,4.38144189103684,0.0298136828767027,0.0289540306245288,0.000743560678651499,0.393503633471816,0.400907458820346,0.41786328145426,0.379575162893605,9484.05365235847,0,0.0519709739453598
2013-11-12 16:45:00,23.35,0.9328775,17,0.0382209335931072,4.22710887161577,0.0296604256983637,0.0291639733684886,0.000470192782088498,0.39367483194025,0.400572169527946,0.417730842478452,0.379655558738653,2.3283064365387e-10,0,0.0379894021936881
2013-11-12 17:45:00,23.35,0.94349,18,0.0217412583295856,4.29248137329193,0.0293539113416858,0.0292597367253825,0.000338976191738185,0.393521192289091,0.40025476233114,0.417613984558621,0.379727914999197,2.3283064365387e-10,0,0.0218921978743284
2013-11-12 18:45:00,22.9,0.9456125,19,0.102849057668725,4.38683343756679,0.0313243607774727,0.0292597367253825,0.00177142396972859,0.393332435003381,0.399941825658233,0.41749712663879,0.379802951121242,2.3283064365387e-10,0,0.102562187520489
2013-11-12 19:45:00,22.75,0.939245,20,0.0521194548996915,4.53847068372284,0.0301530380573105,0.0294696794693423,0.000743560678651499,0.393029545405382,0.399624418461428,0.417372478190971,0.379880667104788,2.3283064365387e-10,0,0.0520629579700421
2013-11-12 20:45:00,22.9,0.939245,21,0.211753899621033,4.82354870649618,0.0335356429220781,0.0294696794693423,0.0042754739022462,0.392871516049904,0.399324893360217,0.417251725007145,0.379955703226833,2.3283064365387e-10,0,0.211747224818086
2013-11-12 21:45:00,22.45,0.92651,22,0.51077065801698,5.07358167682463,0.0417677427871435,0.0295359771779612,0.0123780983563751,0.400702748554698,0.399423244885988,0.417275096591112,0.380025379625875,2.3283064365387e-10,0.12338628685953,0.387896632084218
2013-11-12 22:45:00,22.675,0.935,23,0.400972339694962,5.86681296004974,0.0407058894800806,0.0296409485499411,0.0105520008073339,0.404350592843646,0.399414303838191,0.417154343407286,0.38010041574792,2.3283064365387e-10,0.0217789217745344,0.37906616571474
2013-11-12 23:45:00,22.525,0.9413675,23,0.400972339694962,5.86681296004974,0.0407058894800806,0.0296409485499411,0.0105520008073339,0.404350592843646,0.399414303838191,0.417154343407286,0.38010041574792,2.3283064365387e-10,0.0217789217745344,0.37906616571474
2013-11-13 00:45:00,21.925,0.9328775,1,0.14355187006658,6.38642325687778,0.0335356429220781,0.0298785153391588,0.00435201691328382,0.406488378846916,0.399749593130591,0.416928418095614,0.380247808130509,2.3283064365387e-10,0.0155682026373098,0.128501682480828
2013-11-13 01:45:00,22,0.930755,2,0.0119130182627864,6.26174374337171,0.0304376585313686,0.0299116641934683,0,0.404947592631007,0.399879238323652,0.416823245967766,0.380312124806547,2.3283064365387e-10,0.00082809588496319,0.0112220510112104
2013-11-13 02:45:00,21.35,0.9328775,3,0.000496375760949269,6.13706422986564,0.0301530380573105,0.0299116641934683,0,0.403573615179213,0.399928414086538,0.416710283311929,0.380387160928592,2.3283064365387e-10,0.000414047942481812,0
2013-11-13 03:45:00,21.25,0.922265,4,0.000297825456569215,5.83513762418607,0.0298684175832524,0.0300497844197576,0,0.402401564126085,0.399906061467044,0.41661290171207,0.380459517189136,2.3283064365387e-10,0.000165619176992551,0
2013-11-13 04:45:00,20.975,0.92651,5,9.92751521895936e-05,5.4691864034628,0.0302844013530296,0.0301179237313937,0,0.401387542428435,0.399839003608564,0.416507729584223,0.38053455331118,2.3283064365387e-10,0.000165619176992551,0
2013-11-13 05:45:00,20.75,0.913775,6,0.00109202667408857,4.76356775135002,0.0302844013530296,0.0302597271637174,0,0.400478873634437,0.399731711034996,0.416402557456375,0.380593510264216,2.3283064365387e-10,0,0.00110380829618445
2013-11-13 06:45:00,20.45,0.90953,7,0.000397100608759242,4.16982368973459,0.0303281891182694,0.0303278664753535,0,0.399657998926816,0.399602065841935,0.416301280592522,0.38066720645551,1144.62716493988,0,0.000459920123410153
2013-11-13 07:45:00,20.175,0.9074075,8,-4.33680868994202e-16,3.79376331926761,0.0302844013530296,0.0303554905206114,0,0.39889419037534,0.399445597505481,0.416200003728668,0.380728843270047,102607.649428532,0,0
2013-11-13 08:45:00,19.775,0.9074075,9,-4.33680868994202e-16,4.43063975312299,0.0302844013530296,0.0305322844102617,0,0.398152330345457,0.399257835501737,0.416087041072832,0.380803879392092,355815.530129858,0,0
2013-11-13 09:45:00,19.825,0.79916,10,-4.33680868994202e-16,5.84120311403228,0.0307113320641168,0.0305654332645712,0,0.39682663964117,0.398877840970351,0.415650771505463,0.38086685613738,619161.537149223,0,0
