"datetime","hour","Q_m3.s","No3_mg.l","T2M","TP","CP","LSP","RO","ROS","ROSS","VSWL1","VSWL2","VSWL3","VSWL4","SNSR"
2016-10-02 12:00:00,12,1.8278524,1.51,13.605724832776,0.01949,0.01929,0,7e-05,7e-05,0,0.28839705,0.31391198,0.28863308,0.21243509,0
2016-10-02 13:00:00,13,1.8179416,1.48,12.9942766110264,0.02358,0.02376,0,0.00014,0.00014,0,0.28896466,0.31379067,0.28864432,0.21244485,24735.71972899
2016-10-02 14:00:00,14,1.8476742,1.47,15.4203150170145,0,0,0,0,0,0,0.28912399,0.31366936,0.28864151,0.21245017,352702.80440389
2016-10-02 15:00:00,15,1.8179416,1.46,19.0626650394984,0,0,0,0,0,0,0.28901446,0.31346874,0.28863308,0.21245017,835947.56357866
2016-10-02 16:00:00,16,1.7981198,1.43,21.5583144738088,0,0,0,0,0,0,0.28825266,0.31310015,0.28859655,0.21245017,1397867.57284116
2016-10-02 17:00:00,17,1.7981198,1.38,24.0530232185472,0,0,0,0,0,0,0.28674401,0.31255893,0.28852912,0.21245017,1835418.04156684
2016-10-02 18:00:00,18,1.7882089,1.43,24.941974864014,0,0,0,0,0,0,0.2847972,0.31187774,0.28844201,0.21245017,2002672.04219248
2016-10-02 19:00:00,19,1.778298,1.44,25.6879416945485,0,0,0,0,0,0,0.28262136,0.31114989,0.28834929,0.21245017,2083742.55750538
2016-10-02 20:00:00,20,1.778298,1.44,26.604173337601,0,0,0,0,0,0,0.28051025,0.31042205,0.28825375,0.21245017,2056749.76092961
2016-10-02 21:00:00,21,1.7882089,1.44,26.6258091977552,0,0,0,0,0,0,0.27863812,0.30974086,0.28817227,0.21244101,1798291.43057696
2016-10-02 22:00:00,22,1.769095,1.42,26.1441761369309,0,0,0,0,0,0,0.27601417,0.30800989,0.28737708,0.21244101,1349916.2055453
2016-10-02 23:00:00,23,1.778298,1.4,25.3699886192387,0,0,0,0,0,0,0.27511794,0.30758998,0.28733212,0.21244101,797669.38276899
2016-10-03 00:00:00,0,1.8080307,1.39,24.3935528435832,0,0,0,0,0,0,0.2748889,0.30736603,0.28730964,0.21244662,252930.79521768
2016-10-03 01:00:00,1,1.8080307,1.39,22.12649097525,0,0,0,0,0,0,0.27499844,0.30721206,0.28730402,0.21244662,2349.20243236
2016-10-03 02:00:00,2,1.8080307,1.35,20.6580745534789,0,0,0,0,0,0,0.27511296,0.30707676,0.28730402,0.21244662,0
2016-10-03 03:00:00,3,1.8278524,1.36,18.9554264282992,0,0,0,0,0,0,0.27523246,0.30694145,0.28730964,0.2124617,0
2016-10-03 04:00:00,4,1.8278524,1.41,18.9413160847204,0.00048,0.00054,0,0,0,0,0.27539179,0.30681081,0.28730964,0.2124617,0
